Aspect,Polarity,Summary,Review
Output: Amenities and Location,Positive,"Meijer, sit down and fast food restaurants, retail shopping","This Tesla supercharger station is great! 12 brand new stalls in the parking lot of a Meijer in Detroit. I think this is the first and only supercharger station actually within the City of Detroit. In addition to Meijer there are plenty of sit down and fast food restaurants, as well as retail shopping. This will be my new go-to charging station."
Output: Accessibility and Availability,Positive,plenty of Tesla supercharger stations and don't have to wait,This Tesla supercharger station is great. They have plenty of Tesla supercharger stations and don't have to wait. The area is well lit and has plenty of charging stations.
Output: Safety,Negative,The place is a bit hidden in a remote corner and possibly dark at night. Appears to not safe to charge at night or even on not busy days. Some stations have broken hooks that the charger will not latch or secure to the station and just left dangling on the ground.,"This Tesla supercharger station is in south part of Vallejo, CA. The place is a bit hidden in a remote corner and possibly dark at night. Apoears to not safe to charge at night or even on not busy days. Some stations have broken hooks that the charger will not latch or secure to the station and just left dangling on the ground."
Output: Amenities and Location,Positive,"Highway 55, parking lot of a good Mexican restaurant (El Bracero), 10 minute walk, 8 Supercharging stations, only half the chargers were being used, no wait.","This Tesla Supercharger station is located right off Highway 55 and is located in the parking lot of a good Mexican restaurant (El Bracero). The next closest restaurant is about a 10 minute walk. 8 Supercharging stations are available and both times I was there on a weekend, only half the chargers were being used so i had no wait."
Queue and waiting time,Negative,people are super inconsiderate here,"This the worst supercharger I‚Äôve been to, people are super inconsiderate here. In my opinion, if you‚Äôre going to be at a supercharger and not stay in your car it defeats the purpose of it as other need to use it. The whole point of a supercharger is be a quick charge and then be done so the next person may use it. Leaving your car camping at one just takes away from the people who actually need it in a pinch. If you‚Äôre going to leave for a long period of time and explore Tivoli Village do everyone a favor and take the slower supercharger so those who actually just need a quick charge may use it."
Accessibility and Accessibility,Negative,if you're going to be at a supercharger and not stay in your car it defeats the purpose of it,"This the worst supercharger I‚Äôve been to, people are super inconsiderate here. In my opinion, if you‚Äôre going to be at a supercharger and not stay in your car it defeats the purpose of it as other need to use it. The whole point of a supercharger is be a quick charge and then be done so the next person may use it. Leaving your car camping at one just takes away from the people who actually need it in a pinch. If you‚Äôre going to leave for a long period of time and explore Tivoli Village do everyone a favor and take the slower supercharger so those who actually just need a quick charge may use it."
Compatibility and Connectivity,Positive,the whole point of a supercharger is to be a quick charge and then be done so the next person may use it,"This the worst supercharger I‚Äôve been to, people are super inconsiderate here. In my opinion, if you‚Äôre going to be at a supercharger and not stay in your car it defeats the purpose of it as other need to use it. The whole point of a supercharger is be a quick charge and then be done so the next person may use it. Leaving your car camping at one just takes away from the people who actually need it in a pinch. If you‚Äôre going to leave for a long period of time and explore Tivoli Village do everyone a favor and take the slower supercharger so those who actually just need a quick charge may use it."
Queue and waiting time,Negative,leaving your car camping at one just takes away from the people who actually need it in a pinch,"This the worst supercharger I‚Äôve been to, people are super inconsiderate here. In my opinion, if you‚Äôre going to be at a supercharger and not stay in your car it defeats the purpose of it as other need to use it. The whole point of a supercharger is be a quick charge and then be done so the next person may use it. Leaving your car camping at one just takes away from the people who actually need it in a pinch. If you‚Äôre going to leave for a long period of time and explore Tivoli Village do everyone a favor and take the slower supercharger so those who actually just need a quick charge may use it."
Queue and waiting time,Negative,if you're going to leave for a long period of time and explore Tivoli Village do everyone a favor and take the slower supercharger so those who actually just need a quick charge may use it,"This the worst supercharger I‚Äôve been to, people are super inconsiderate here. In my opinion, if you‚Äôre going to be at a supercharger and not stay in your car it defeats the purpose of it as other need to use it. The whole point of a supercharger is be a quick charge and then be done so the next person may use it. Leaving your car camping at one just takes away from the people who actually need it in a pinch. If you‚Äôre going to leave for a long period of time and explore Tivoli Village do everyone a favor and take the slower supercharger so those who actually just need a quick charge may use it."
Output: reliability and maintenance,Positive,8 out of 12 were operational,This tyngsboro/Nashua charger is perfect for southern NH residents. When I visited 8 out of 12 were operational.
Output: Accessibility and Availability,Negative,This unit is blocked by the owner of the house,This unit is blocked by the owner of the house. She indicated that the charger was left by the previous owner of the home. I could use it when she left. The vehicle blocking it wasn‚Äôt an electric vehicle. Went by 3 more times. Still blocked.
Accessibility and Amenities and Location,Negative,"filthy, garbage cans full and garbage on the floor everywhere, reeks of urine, people living in their cars, shadier","This used to be a nice supercharger stop, but now it is filthy, garbage cans full and garbage on the floor everywhere, reeks of urine. There are clearly people living in their cars and they seem to prefer to park close to the charging station. I feel bad for them, but it definitely makes this spot feel a lot shadier..
 Also, the chargers seem a lot slower these days, thus prolonging the unpleasant wait here. Will pass on this stop next time"
Charging speed and efficiency,Negative,chargers seem a lot slower these days,"This used to be a nice supercharger stop, but now it is filthy, garbage cans full and garbage on the floor everywhere, reeks of urine. There are clearly people living in their cars and they seem to prefer to park close to the charging station. I feel bad for them, but it definitely makes this spot feel a lot shadier..
 Also, the chargers seem a lot slower these days, thus prolonging the unpleasant wait here. Will pass on this stop next time"
Queue and waiting time,Negative,unpleasant wait here,"This used to be a nice supercharger stop, but now it is filthy, garbage cans full and garbage on the floor everywhere, reeks of urine. There are clearly people living in their cars and they seem to prefer to park close to the charging station. I feel bad for them, but it definitely makes this spot feel a lot shadier..
 Also, the chargers seem a lot slower these days, thus prolonging the unpleasant wait here. Will pass on this stop next time"
Output: Accessibility and Availability,Neutral,they added a couple chargers since I was here last,This was a busy place last year when I was here. Timing is everything. Looks like they added a couple chargers since I was here last.
Output 12: Amenities and Location,Positive,"Food Lion, grocery store, bathrooms at the Food Lion, snacks, Dunkin mochaccinos, KFC, Subway, McDonalds, Pizza Hut, bottle shop","This was a delightful Supercharger stop. Many Tesla owners might be surprised to be stopping at a Food Lion to plug in, but if you get past pre-conceptions, you'll find 12x fast (250kW) chargers here, and very friendly staff at the grocery store (we had one cashier very nicely ask us the usual questions about how long to charge, what's it like to drive, etc.) Bonus #1, the bathrooms at the Food Lion were super clean and well maintained. Bonus #2, being a grocery store, there's no shortage of snacks you can pick up here, plus they have Dunkin mochaccinos! #3 The Superchargers are in a less-usual, pull through configuration AND they're angle parking. That makes for a different look on your Instagram or something if you just have to share. Bonus #4: Trash and recycling are in easy reach at the storefronts. Bonus #5 The road is quiet enough you can easily walk to the KFC, Subway, McDonalds or Pizza Hut across the street. You're not hurting for choice here, as long as you arrive during store hours.
 
 Oh yeah, and if you get bored of all that you can always peruse the booze selection at the bottle shop. Just don't drink before you go!"
Output: reliability and maintenance,Positive,There was a tech working there servicing all the charging stations at the time,This was a good place to charge - very convenient and fast. There was a tech working there servicing all the charging stations at the time. That's nice to see.
Output: Amenities and Location,Positive,hotel's garage,"This was a great destination charger. It is located in the hotel's garage. It charged my Model 3 at ~40 mph. Since we were staying at this hotel, I just plugged it in overnight and we were all set each day."
Output: charging speed and efficiency,Positive,"quickly, 15 minutes to add 100 miles of range","This was a great Tesla supercharger. Electricity came into my car extremely quickly. It took about 15 minutes to add 100 miles of range. By the time my wife came back to the car after visiting the bathroom, we were ready to continue our trip."
Output: Amenities and Location,Positive,"arbys, Home Depot",This was a nice stop especially if you like arbys. We actually wanted to walk so we went to the Home Depot to use their bathrooms. I‚Äôm getting good and resourceful for discovering bathrooms near the super chargers.
Accessibility and Amenities and location,Positive,"perfect place to stop, located at the rest stop, bright and clean, near the south end of the parking lot, felt very safe, nice green space behind the chargers to walk a dog, very convenient","This was a perfect place to stop! Outside of the city, and you don't have to exit the turnpike! These are located at the rest stop in between the north and southbound lanes of the turnpike. I went in to use the restroom and the entire inside was bright and clean. The chargers are near the sou end of the parking lot and felt very safe. There is a nice green space behind the chargers to walk a dog. Very convenient, this will be my new regular stop instead of going on to Wichita!"
Output: Amenities and Location,Positive,Lots of places to eat and shop,This was an excellent location. Lots of places to eat and shop. Fast charging.
Amenities and Location,Positive,"Great location that was spacious and near several businesses, There's a Target nearby with bathrooms and a Starbucks. However, even closer is a sub shop and Mexican restaurant.","This was an ideal charging station. Great location that was spacious and near several businesses. There's a Target nearby with bathrooms and a Starbucks. However, even closer is a sub shop and Mexican restaurant. Charging speed was good. I had good experience here."
Charging speed and efficiency,Positive,Charging speed was good,"This was an ideal charging station. Great location that was spacious and near several businesses. There's a Target nearby with bathrooms and a Starbucks. However, even closer is a sub shop and Mexican restaurant. Charging speed was good. I had good experience here."
Accessibility and Location,Positive,convenient that it's placed right off 90 and easy to use,"This was my first experience with a supercharger. Honestly, I find it very convenient that it's placed right off 90 and easy to use. However, I was only checking it out for an upcoming trip.
 Update: still a great supercharger, even after plenty of experience with them now."
Output: Accessibility and Amenities and location,Positive,"not busy during weekend travel to Acadia, short walk to Lonestar Steakhouse",This was not busy during weekend travel to Acadia. The Lonestar Steakhouse is a short walk.
Output: reliability and maintenance,Negative,This was not in service and I was routed here by Tesla navigation for a recharge only to find it wasn't working and there was nothing identifying it as not working in Navigation or online.,This was not in service and I was routed here by Tesla navigation for a recharge only to find it wasn‚Äôt working and there was nothing identifying it as not working in Navigation or online. My car was too low on battery to drive to another supercharger so had to have my car towed. Was a huge pain and took hours to deal with. I‚Äôm hoping Tesla will identify chargers like this in the navigation in the future so drivers aren‚Äôt routed to non-working chargers like I was.
Output: Amenities and Location,Positive,"bathrooms at the Shell, restaurants nearby and if open, the Chamber of Commerce visitors center","This was our favorite stop on the drive from Portland, OR to Boise, ID! Fast charging, and a great place to watch the sunset! Walk to bathrooms at the Shell, restaurants nearby and if open, the Chamber of Commerce visitors center is right there!"
Output: Availability and Accessibility,Neutral,standard Level 2 charger still there,This was removed. There is a standard Level 2 charger still there though.
Output: Accessibility and Location,Negative,when this parking lot gets busy it becomes extremely dangerous,This Wawa supercharging location is incredibly convenient located just off the Garden State Parkway. However when this parking lot gets busy it becomes extremely dangerous as there isn‚Äôt a whole lot of room to navigate.
Output: Amenities and Location,Positive,"right off the turnpike exit, Well lit and a lot of space","This Wawa was right off the turnpike exit. There was a bunch of chargers here, I'm guessing about 12. Well lit and a lot of space."
Output: Accessibility and Location,Positive,"further into Nashville, best station","Though it may be a little further into Nashville, this is the best station. Usually there aren't too many people so charging speed it pretty good."
Output: Amenities and Location,Positive,"Winn Dixie, restroom, road trip snacks, quieter areas like Arcadia",Though looks may be deceiving overall great experience. Right next to Winn Dixie if you need to use restroom or stock up on road trip snacks. Glad to see Tesla super chargers in quieter areas like Arcadia.
Output: Amenities and location,Positive,Sheetz drive thru,"Though we were charging, it's good to see a Sheetz drive thru. Lots of spaces and not very busy when we were there."
Output: Charging speed and efficiency,Negative,maxed out around 150kw with a 30% soc,Thought this was a 250kw charger and was surprised that I maxed out around 150kw with a 30% soc. Turns out 150kw is üëçüèªüëçüèª
Output: Accessibility and Amenities and Location,Negative,IC vehicles like to park there,"Three 200V/48A Tesla chargers, each one with two parking spots adjacent to them, labelled ""for electric vehicle use while charging"", right in front of the new Marriott Residence Inn (which is hidden behind the MOOYA Burgers, hard to see from the road).
 Bad news is that since the chargers are the very best parking spots, right near the front door of the Residence Inn, IC vehicles like to park there. This evening two electric cars were charging, but the other spaces were filled up with IC vehicles.
 Still, nice to see a charger at the Residence Inn. It would be a nice place to stay if you're visiting the hospital next door, the fairgrounds, or Baldwin Wallace University"
Output: reliability and maintenance,Negative,Three chargers not working as of 8,Three chargers not working as of 8/24/2022. The one with the sign missing is completely dead. Two others start to charge but stop immediately 3b an 1B. 3a worked for me. Hotel restroom was clean.
Output: reliability and maintenance,Negative,Three chargers on the side were not working,Three chargers on the side were not working but it wasn‚Äôt busy and we didn‚Äôt need to wait on a weekday. Lots of food options and stores
Output: Accessibility and Amenities and location,Positive,Three Functional Tesla Chargers. Nice to see them popping up in various hotels. They could use some signage to indicate parking for EV charging only. Friendly hotel staff said they are already working on getting signs. Cool! Thanks.,Three Functional Tesla Chargers. 16KW. Nice to see them popping up in various hotels. They could use some signage to indicate parking for EV charging only. Friendly hotel staff said they are already working on getting signs. Cool! Thanks.
Output: Accessibility and Availability,Negative,people don't respect that the spots are reserved for electric vehicles only,Three or four chargers that all work well. The only problem is that people don't respect that the spots are reserved for electric vehicles only.
Output: Amenities and Location,Positive,"Three restaurants (Buffalo Wild Wings, Ramen, and a local bar","Three restaurants (Buffalo Wild Wings, Ramen, and a local bar/Pizza restaurant). Bathrooms in restaurants, bike shop, and lobby of 901 Pier View Drive (open until 5:00PM). Next to the Snake River."
Output: Amenities and Location,Positive,cafe inside with food and beer,Three Tesla Level 2 chargers and one J1772. All free. There is a cafe inside with food and beer/wine or you can sit outside on the patio overlooking the valley while you get a charge.
Output: Amenities and Location,Positive,"excellent and spacious visitor center, restaurant",Three Tesla Level 2 chargers and one J1772. Great place for a charge. You can take an extended hike or sit inside (or outside) at the excellent and spacious visitor center where there is plenty of comfortable seating. There is also a restaurant.
Output: Accessibility and Availability,Positive,(8) 250kw chargers. Behind the Circle K,Thrilled about this addition. (8) 250kw chargers. Behind the Circle K / Churches drive thru.
Output: Amenities and Location,Positive,"Buc-ee's, clean bathrooms, tons of food, drinks and gifts","Thrilled to find another 250 charger at a Buc-ee's!!! Thus one is new, the Tesla guy we ran in to, said... 5/3/23
 
 Can't beat Buc-ees for clean bathrooms, and tons of food, drinks and gifts."
Accessibility and Location,Positive,This place isn't too far off I-5 so good job Tesla team on placement. There's a gas station about 50 yards across.,"TIL ppl reviewed Supercharger stations. Oh well, here I go.
 
 This place isn't too far off I-5 so good job Tesla team on placement. There's a gas station about 50 yards across. Which is kinda distant yet close enough for you and its ICE patrons to awkwardly stare at each other while having imaginary conversations/confrontations in your head.
 
 There were plenty of open stalls when I arrived, midday on a weekend. I was able to peak at 530-ish mph.
 
 Oh, and there's a nice patch of astroturf in the middle which just made the whole charging experience feel even more fancy. I did, however, see - at the same time - a dog relieving himself on one end and a woman doing yoga barefoot on the other. Do what you wish with this info."
Amenities and Location,Positive,"There were plenty of open stalls when I arrived, midday on a weekend.","TIL ppl reviewed Supercharger stations. Oh well, here I go.
 
 This place isn't too far off I-5 so good job Tesla team on placement. There's a gas station about 50 yards across. Which is kinda distant yet close enough for you and its ICE patrons to awkwardly stare at each other while having imaginary conversations/confrontations in your head.
 
 There were plenty of open stalls when I arrived, midday on a weekend. I was able to peak at 530-ish mph.
 
 Oh, and there's a nice patch of astroturf in the middle which just made the whole charging experience feel even more fancy. I did, however, see - at the same time - a dog relieving himself on one end and a woman doing yoga barefoot on the other. Do what you wish with this info."
Charging speed and efficiency,Positive,I was able to peak at 530-ish mph.,"TIL ppl reviewed Supercharger stations. Oh well, here I go.
 
 This place isn't too far off I-5 so good job Tesla team on placement. There's a gas station about 50 yards across. Which is kinda distant yet close enough for you and its ICE patrons to awkwardly stare at each other while having imaginary conversations/confrontations in your head.
 
 There were plenty of open stalls when I arrived, midday on a weekend. I was able to peak at 530-ish mph.
 
 Oh, and there's a nice patch of astroturf in the middle which just made the whole charging experience feel even more fancy. I did, however, see - at the same time - a dog relieving himself on one end and a woman doing yoga barefoot on the other. Do what you wish with this info."
Safety,Neutral,There's a nice patch of astroturf in the middle which just made the whole charging experience feel even more fancy.,"TIL ppl reviewed Supercharger stations. Oh well, here I go.
 
 This place isn't too far off I-5 so good job Tesla team on placement. There's a gas station about 50 yards across. Which is kinda distant yet close enough for you and its ICE patrons to awkwardly stare at each other while having imaginary conversations/confrontations in your head.
 
 There were plenty of open stalls when I arrived, midday on a weekend. I was able to peak at 530-ish mph.
 
 Oh, and there's a nice patch of astroturf in the middle which just made the whole charging experience feel even more fancy. I did, however, see - at the same time - a dog relieving himself on one end and a woman doing yoga barefoot on the other. Do what you wish with this info."
Safety,Negative,"I did, however, see - at the same time - a dog relieving himself on one end and a woman doing yoga barefoot on the other.","TIL ppl reviewed Supercharger stations. Oh well, here I go.
 
 This place isn't too far off I-5 so good job Tesla team on placement. There's a gas station about 50 yards across. Which is kinda distant yet close enough for you and its ICE patrons to awkwardly stare at each other while having imaginary conversations/confrontations in your head.
 
 There were plenty of open stalls when I arrived, midday on a weekend. I was able to peak at 530-ish mph.
 
 Oh, and there's a nice patch of astroturf in the middle which just made the whole charging experience feel even more fancy. I did, however, see - at the same time - a dog relieving himself on one end and a woman doing yoga barefoot on the other. Do what you wish with this info."
Output: Amenities and Location,Positive,Tim Hortons and nice truck stop,Tim Hortons and nice truck stop
Output: Amenities and Location,Positive,vicinity to Dave's Fresh Market,"To be honest I‚Äôve rarely found any Tesla supercharging stations, except maybe in Yonkers and New Rochelle New York, that deserved anything less than five star, but this one definitely deserves five star because of his vicinity to Dave‚Äôs Fresh Market which is pretty much a Wegmans on steroids. You must must must stop here if you‚Äôre in Rhode Island."
Output: reliability and maintenance,Negative,one Charger was not working,To crowded one Charger was not working.they need to work on timing middle if the turnpike we need to charge full every 20 min charging restated.
Output: Compatibility and Connectivity,Neutral,Stall's A&B which SHARE 150kw,"To educate the unaware; At this super charger station you have Stall's A&B which SHARE 150kw. If you park next to someone in a B stall with A occupied you will both lose charging speed down to about 75kw. If there are still other spots open, It is proper etiquette to make an attempt to do so. Obviously if there are no more to spaces open no big deal!
 As far as the location it's good, coffee and famous Pepe's pizza, area looks clean currently."
Output: Accessibility and Amenities and location,Negative,"cars parked to block you, Owner told me he will tow your car if you leave it there, Food not that exciting",To use this you have to eat at this restaurant and there are cars parked to block you as well.Owner told me he will tow your car if you leave it there. Food not that exciting to use this. Try sth lake dr near by.
Location and Safety,Negative,"located behind a Weis grocery store, I‚Äôm not sure I would like to be back here by myself in the evening.","Today I did my first ‚Äúbig‚Äù trip in my Tesla model 3 and found this charging station to be a bit off the beaten path. It‚Äôs located behind a Weis grocery store. I‚Äôm not sure I would like to be back here by myself in the evening.
 But the chargers work fine. When I pulled up there was 3 other cars already charging so I felt safe."
Availability and Accessibility,Positive,When I pulled up there was 3 other cars already charging,"Today I did my first ‚Äúbig‚Äù trip in my Tesla model 3 and found this charging station to be a bit off the beaten path. It‚Äôs located behind a Weis grocery store. I‚Äôm not sure I would like to be back here by myself in the evening.
 But the chargers work fine. When I pulled up there was 3 other cars already charging so I felt safe."
Output: reliability and maintenance,Positive,The chargers are working,"Today, January 21st, 2023. Tesla Supercharger working. Just come, the chargers are working. The Tesla computer car is not showing that the station is operational but it is working and it had been like this since last Friday ."
Output: Amenities and Location,Positive,tons of places to get food or go to the bathroom nearby,"Tons of stalls, tons of places to get food or go to the bathroom nearby."
Output: Charging speed and efficiency,Positive,Charges at ~230 mph,Tons of supercharger spots. Charges at ~230 mph. Parking is only $3 / hour. This is the best charging spot you'll find in the entire NYC / Jersey City area.
Output: Amenities and Location,Positive,Tons to do while charging. Great place to stop if heading to northern Wisconsin.,Tons to do while charging. Great place to stop if heading to northern Wisconsin. I gave it 4 stars because it only has 3 plugs. It‚Äôs the first 3 plug I have seen. Normally I see 5-6 at a Supercharger. But it‚Äôs a great location.
Output: Accessibility and Amenities and location,Negative,Arby's across the street,Too bad they built the Arby's across the street. It occludes my view of the coal fired power plant providing the energy to charge my car. #savingtheworld.ü§£ü§£
Output: Accessibility and Location,Negative,further from the highway and charger is busier than most,Too much afternoon traffic getting to this charger - further from the highway and charger is busier than most. Several busy and slow intersections. Would recommend finding another.
Output: Charging speed and efficiency,Negative,Too slow to be a practical charging stop,Too slow to be a practical charging stop. 6 mi/hr on Model S 100D is very poor especially when I can get 4 mi/hr on a 120v wall outlet with a 50 ft extension cord. This is not worth going out of your way.
Output: Charging speed and efficiency,Negative,Too slow,Too slow. Only car here and it‚Äôs doing 75kw or 336mi per hr
Output: charging speed and efficiency,Neutral,Took a few minutes for speed to improve,Took a few minutes for speed to improve. Wish it was a little faster but at least not painfully slow. Plenty of stores to browse as well as some fast food to eat
Output: Accessibility and Location,Negative,Took me a while to actually find the supercharger,Took me a while to actually find the supercharger. To save everyone time it‚Äôs inside the parking garage on the 3rd I believe. It has a nice grocery store with elevators so you could do a grocery run. Stays nice and lit up over night but for visibility and ease of access I can‚Äôt give this more than 3 stars
Output: Charging speed and efficiency,Positive,Topped out at 127kW,Topped out at 127kW. 8 stalls.
Output: Charging speed and efficiency,Positive,charging time goes down significantly,"Total of 3 chargers on the same circuit. When other vehicles are plugged in, charging time goes down significantly, but still fast. Last night we started with 22mi/hr on the Model 3 but that raised to 38 when the other cars finished charging and we got the full 42Amps."
Output: Accessibility and Availability,Positive,4 free 220v Tesla chargers,"Totally blows my mind that this is here, 4 free 220v Tesla chargers. Stopped for an hour to get topped off, just plugged right in and went shopping."
Output: Amenities and Location,Neutral,not much in terms of restaurants or stores around but there is a gas station,Totally fine- not much in terms of restaurants or stores around but there is a gas station. We charged a bit and got a snack to get us to Missoula which is better for a meal/longer stop.
Output: Charging speed and efficiency,Negative,Tower 2C never gave more than 36 kW,"Tower 2C never gave more than 36 kW, even with no one else plugged in. Decided to experiment by trying a different tower, 1A immediately pushed 120 kW against battery around 50%."
Output: Amenities and Location,Neutral,"Trash can and window cleaning brush included at this location. Food options are limited to the Royal Farms, gas station, convenience store.","Trash can and window cleaning brush included at this location. Food options are limited to the Royal Farms, gas station, convenience store."
Amenities and Location,Positive,"little coffee shop in parking lot next to charger, Smith's grocery store",Traveling across the country stayed in Rock springs last night charging up around 7 am There is a little coffee shop in parking lot next to charger found the local people to be very friendly. I went to the Smith's grocery store to use the bathroom it was very clean
Customer Service,Positive,local people to be very friendly,Traveling across the country stayed in Rock springs last night charging up around 7 am There is a little coffee shop in parking lot next to charger found the local people to be very friendly. I went to the Smith's grocery store to use the bathroom it was very clean
Cleanliness,Positive,bathroom was very clean,Traveling across the country stayed in Rock springs last night charging up around 7 am There is a little coffee shop in parking lot next to charger found the local people to be very friendly. I went to the Smith's grocery store to use the bathroom it was very clean
Output: Charging speed and efficiency,Negative,Trickle charger. You get about 7 mi,Trickle charger. You get about 7 mi/hr. Do not come here for a destination charge.
Output: Accessibility and Location,Negative,Tricky location,Tricky location. Where your GPS takes you if you put in the address is actually in the parking lot across the road. The chargers are placed right across the street on E Irving. Plenty of chargers and giving me 31ml/hour. üëç
Output: reliability and maintenance,Negative,"Tried 2 chargers when 17deg F, and both were frozen","Tried 2 chargers when 17deg F, and both were frozen. Got nervous because I was at 5% with no other charging option available on Christmas day. Fortunately the 3rd charger worked. Images are of the chargers and plugs that didn't work. Not sure how to report this to Tesla."
Output: Charging speed and efficiency,Negative,Couldn't get more than 35-40kw with only 1 other car there,Tried a few stalls. Couldn't get more than 35-40kw with only 1 other car there. Dunkin donuts and jersey Mike's and a decent bagel shop in this lot. Go up the hill to Delizia for great pizza.
Charging speed and efficiency,Negative,Not getting close to the max charging,"Tried out new 250kW supercharger. Not getting close to the max charging. Started at 85kW, then down to 65kW after just a few minutes. Getting average of 50kW. Location is not nice and very sketchy activities going on. Started charging around 8:20pm."
Location and safety,Negative,Location is not nice and very sketchy activities going on,"Tried out new 250kW supercharger. Not getting close to the max charging. Started at 85kW, then down to 65kW after just a few minutes. Getting average of 50kW. Location is not nice and very sketchy activities going on. Started charging around 8:20pm."
Output: Accessibility and Amenities and Location,Negative,giant pothole next to the charger curb rashes 2 of my wheels,Tried to charge my new S Plaid here today and the giant pothole next to the charger curb rashes 2 of my wheels.
Output: Accessibility and Availability,Negative,"completely iced, Very little signage",Tried to use these destination chargers and they were completely iced. Very little signage around the fact that there were chargers meant for Teslas.
Output: charging speed and efficiency,Positive,"True 250kW charger, I go and charge for 15 minutes and I'm ready for the day.",True 250kW charger. I go and charge for 15 minutes and I‚Äôm ready for the day. I like to get food nearby and charge my car while I eat. It‚Äôs usually never busy so that‚Äôs great. Love coming here!
Output: Accessibility and Amenities and location,Positive,get 10-20% there with a Nema 14-50 or TT-30 RV adapters while you get dinner at the gas station diner nearby,Try a diff stall if you get lower rates. My last review got taken down cause I plugged an RV site between this and Great Falls. But if you get range anxiety you can get 10-20% there with a Nema 14-50 or TT-30 RV adapters while you get dinner at the gas station diner nearby. Or get an RV site and charge for $25 a night at 15-40 miles/hr.
Output: Accessibility and Accessibility,Negative,Trying to actually get to the chargers is a challenge,"Trying to actually get to the chargers is a challenge. The car routed me into the parking garage and you can't make a direct left to the chargers. I had to go to the second floor, turn around, then the parking attendant had me make a u-turn in the exit lane to drive the wrong way to the chargers. I hope you all have better luck. The chargers seem to be in the valet Parking lot. Plenty of spaces though."
Output: Accessibility and Location,Neutral,"Tucked away behind a burm so there's no way to see it from the road if your coming from E.Aurora Rd. To find this Tesla Supercharger go twards the Hobby Lobby turn immeadtly to the left twards the Outback the chargers are located between the Ohio Savings Bank and the Key Bank. OUTBACK IS OPEN TILL 11 most nights so it's always a place to eat if you're traveling but this exit is a target rich environment for whatever you need, in evidence the plethora of pick ups, sport utility vehicles and mini-vans filling the Hobby lobby lot but on Sundays.","Tucked away behind a burm so there's no way to see it from the road if your coming from E.Aurora Rd. To find this Tesla Supercharger go twards the Hobby Lobby turn immeadtly to the left twards the Outback the chargers are located between the Ohio Savings Bank and the Key Bank. OUTBACK IS OPEN TILL 11 most nights so it's always a place to eat if you're traveling but this exit is a target rich environment for whatever you need, in evidence the plethora of pick ups, sport utility vehicles and mini-vans filling the Hobby lobby lot but on Sundays."
Output: Accessibility and Accessibility,Positive,"Tucked away in back, but very fast. No other cars while I was there","Tucked away in back, but very fast. No other cars while I was there"
Output: Amenities and Location,Positive,"gas station, carnival type train track, grassy area, kids to play, playgriund","Tucked away in the shade behind the gas station. Right next to a carnival type train track. Also a nice grassy area for the kids to play right next to it. However, if you have more time walk towards the train you see past the grassy patch, and there is a playgriund over there for the kids to play."
Accessibility and Location,Neutral,Fred Meyer,"Tucked away off 95, not much nearby except Fred Meyer. Large pothole you'll want to look out for otherwise unremarkable. Rates may fluctuate but it's been $.34kw/h for the last few charges. 6 spots in a row with a 7th meant for use if you have a trailer or hitch mounted bike rack I suppose."
Amenities and Location,Neutral,Large pothole,"Tucked away off 95, not much nearby except Fred Meyer. Large pothole you'll want to look out for otherwise unremarkable. Rates may fluctuate but it's been $.34kw/h for the last few charges. 6 spots in a row with a 7th meant for use if you have a trailer or hitch mounted bike rack I suppose."
Price and Cost,Neutral,Rates may fluctuate,"Tucked away off 95, not much nearby except Fred Meyer. Large pothole you'll want to look out for otherwise unremarkable. Rates may fluctuate but it's been $.34kw/h for the last few charges. 6 spots in a row with a 7th meant for use if you have a trailer or hitch mounted bike rack I suppose."
Compatibility and Connectivity,Neutral,6 spots in a row with a 7th meant for use if you have a trailer or hitch mounted bike rack,"Tucked away off 95, not much nearby except Fred Meyer. Large pothole you'll want to look out for otherwise unremarkable. Rates may fluctuate but it's been $.34kw/h for the last few charges. 6 spots in a row with a 7th meant for use if you have a trailer or hitch mounted bike rack I suppose."
Output: Accessibility and Amenities and location,Negative,Tucked out of the way but still convenient to some food and shopping in the nearby T&D. Do NOT recommend for those towing. Very tight and narrow parking lot.,Tucked out of the way but still convenient to some food and shopping in the nearby T&D. Do NOT recommend for those towing. Very tight and narrow parking lot. All are v3 250kW chargers.
